Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R12,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.259000,-41.605000,180.000000,bottom
R12,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.259000,7.395000,180.000000,bottom
R13,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.259000,-43.855000,180.000000,bottom
R13,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.259000,5.145000,180.000000,bottom
VD1,1210 BLUE,LED_SMD:LED_1210_3528Metric,,,,bottom
VD2,0805 GREEN,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-1.991000,-41.605000,180.000000,bottom
VD2,0805 GREEN,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-1.991000,7.395000,180.000000,bottom
VD3,0805 RED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-1.991000,-43.855000,180.000000,bottom
VD3,0805 RED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-1.991000,5.145000,180.000000,bottom
